date,strategy,portfolio_value,daily_return,tqqq_position,sqqq_position,qqq_close,qqq_open,qqq_high,qqq_low,qqq_volume,ma_50,deviation_pct,cumulative_return
2025-06-03,Buy_Hold_QQQ,10196.498129507492,0.002787786838611848,1.0,0.0,528.77,528.01,529.84,525.9694,41359322,466.49799999999993,0.13348824646622293,0.019649812950749218
2025-06-04,Buy_Hold_QQQ,10119.750086775415,-0.007526902055714239,1.0,0.0,524.79,530.18,533.05,522.66,61286623,466.3282,0.12536621203693019,0.011975008677541518
2025-06-05,Buy_Hold_QQQ,10218.67407150294,0.009775338706911328,1.0,0.0,529.92,530.0,531.8,528.21,42467021,466.63939999999997,0.13560920916664987,0.02186740715029391
2025-06-06,Buy_Hold_QQQ,10218.67407150294,0.0,1.0,0.0,529.92,530.0,531.8,528.21,42470000,466.9668,0.1348130102611149,0.02186740715029391
2025-06-09,Buy_Hold_QQQ,10301.399976859877,0.008095561594203046,1.0,0.0,534.21,531.17,534.9,528.89,40664795,467.1878,0.14345879751140775,0.030139997685987692
2025-06-10,Buy_Hold_QQQ,10266.689806780041,-0.003369461447745396,1.0,0.0,532.41,535.62,536.78,530.11,53701033,467.978,0.13768168589121701,0.026668980678004117
2025-06-11,Buy_Hold_QQQ,10290.794091557704,0.0023478146541199454,1.0,0.0,533.66,531.09,534.6438,530.84,34104887,468.6966,0.13860437647723492,0.029079409155770373
2025-06-12,Buy_Hold_QQQ,10161.595125149437,-0.012554810178765379,1.0,0.0,526.96,527.68,531.87,525.73,55814443,469.47700000000003,0.12244050294263617,0.016159512514943707
2025-06-13,Buy_Hold_QQQ,10161.595125149437,0.0,1.0,0.0,526.96,527.68,531.87,525.73,55810000,470.20660000000004,0.12069885875698043,0.016159512514943707
2025-06-16,Buy_Hold_QQQ,10202.475992132351,0.004023075755275551,1.0,0.0,529.08,531.71,533.325,527.91,42180866,471.14599999999996,0.12296400691080915,0.020247599213235115
2025-06-17,Buy_Hold_QQQ,10200.740483628359,-0.00017010660013614542,1.0,0.0,528.99,530.1,532.55,527.4,43983522,471.9584,0.12084031134947493,0.020074048362835856
2025-06-18,Buy_Hold_QQQ,10200.740483628359,0.0,1.0,0.0,528.99,530.1,532.55,527.4,43980000,472.81339999999994,0.1188134684846074,0.020074048362835856
2025-06-20,Buy_Hold_QQQ,10159.08827953256,-0.004083252991549874,1.0,0.0,526.83,532.26,533.56,524.88,61640000,473.602,0.11238972808391871,0.015908827953255968
2025-06-23,Buy_Hold_QQQ,10408.808669829137,0.024580984378262307,1.0,0.0,539.78,536.89,540.7,536.27,45441982,474.246,0.13818566735407362,0.040880866982913724
2025-06-24,Buy_Hold_QQQ,10435.419800223677,0.0025565971321649477,1.0,0.0,541.16,542.06,543.31,539.38,44804168,474.7128,0.1399734744881536,0.04354198002236771
2025-06-25,Buy_Hold_QQQ,10532.993945003655,0.009350284573878445,1.0,0.0,546.22,543.35,546.67,541.52,43811432,475.02840000000003,0.14986809209723037,0.05329939450036545
2025-06-26,Buy_Hold_QQQ,10569.053955031037,0.003423528980996676,1.0,0.0,548.09,547.26,549.99,544.545,57577147,475.5256000000001,0.15259830385577539,0.05690539550310368
2025-06-27,Buy_Hold_QQQ,10569.053955031037,0.0,1.0,0.0,548.09,547.26,549.99,544.54,57580000,476.3176,0.15068181398293912,0.05690539550310368
2025-06-30,Buy_Hold_QQQ,10547.842184426694,-0.0020069696582678443,1.0,0.0,546.99,549.73,550.71,544.66,56166736,477.31700000000006,0.14596798354133614,0.05478421844266941
2025-07-01,Buy_Hold_QQQ,10621.312044429005,0.006965392420336653,1.0,0.0,550.8,546.16,551.0,546.12,36538281,478.3368,0.15148991254697522,0.062131204442900524
2025-07-02,Buy_Hold_QQQ,10725.82822322495,0.00984023238925213,1.0,0.0,556.22,553.18,557.2,553.18,26443524,479.34060000000005,0.16038574658603916,0.07258282232249494
